,image_id,question_id,true_answer,model_answer,question,field,bleu,f1,meteor,anls,rouge-1,rouge-2,rouge-L,rouge-L-Sum,bert-score-precision,bert-score-recall,bert-score-f1,llm-as-judgement-score,llm-as-judgement
0,V2_1,1,Nước Oxy Già,Oxy già,Đây là sản phẩm gì?,Tên sản phẩm,0.0,0.0,0.647,0.583,0.667,0.5,0.667,0.667,0.883,0.916,0.899,4.0,"Câu trả lời ""oxy già"" là một cách gọi khác của ""nước oxy già"", khá chính xác và phù hợp với ngữ cảnh."
1,V2_1,2,"Dung dịch sát khuẩn, khử trùng",Dung dịch sát khuẩn,Đây là loại sản phẩm gì?,Loại sản phẩm,0.607,0.69,0.684,0.655,0.824,0.8,0.824,0.824,0.874,0.961,0.916,4.0,"Câu trả lời ""dung dịch sát khuẩn"" là một phần của đáp án tham chiếu, khá chính xác nhưng chưa đầy đủ."
2,V2_1,3,"Trắng, xanh",Trắng,Sản phẩm này có màu như thế nào?,Màu sắc,0.0,0.0,0.263,0.5,0.8,0.667,0.8,0.8,0.929,0.95,0.939,3.0,"Câu trả lời ""trắng"" chưa chính xác hoàn toàn so với đáp án tham chiếu ""trắng xanh""."
3,V2_1,4,"Sát khuẩn, khử trùng",Sát khuẩn,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,0.0,0.0,0.493,0.0,0.727,0.667,0.727,0.727,0.799,0.884,0.84,4.0,"Câu trả lời ""sát khuẩn"" là một phần của đáp án tham chiếu, khá chính xác nhưng chưa đầy đủ."
4,V2_1,5,Không xác định,Không xác định,Bạn có thể cho biết hạn sử dụng của sản phẩm không?,Hạn sử dụng,0.0,0.0,0.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,Cả hai câu trả lời đều trùng khớp và chính xác.
5,V2_2,5,Không xác định,Không xác định,Sản phẩm này có thời hạn sử dụng bao lâu?,Hạn sử dụng,0.0,0.0,0.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,Cả hai câu trả lời đều trùng khớp và chính xác.
6,V2_2,3,"Trắng, xanh",Trắng,Sản phẩm này có màu như thế nào?,Màu sắc,0.0,0.0,0.263,0.5,0.8,0.667,0.8,0.8,0.929,0.95,0.939,3.0,"Câu trả lời ""trắng"" chưa chính xác hoàn toàn so với đáp án tham chiếu ""trắng xanh""."
7,V2_2,4,Không xác định,Không xác định,Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,0.0,0.0,0.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,Cả hai câu trả lời đều trùng khớp và chính xác.
8,V2_2,1,Không xác định,Betadine,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,0.643,0.647,2.0,"Câu trả lời ""betadine"" không chính xác vì đáp án đúng là không xác định."
9,V2_2,2,Thuốc sát trùng,Dung dịch sát khuẩn,Sản phẩm trong ảnh thuộc nhóm nào?,Loại sản phẩm,0.0,0.0,0.161,0.0,0.308,0.182,0.308,0.308,0.826,0.804,0.815,3.0,"Câu trả lời ""dung dịch sát khuẩn"" khá gần với đáp án tham chiếu ""thuốc sát trùng"", nhưng chưa chính xác hoàn toàn."
